StudentID,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8,Block9,Block10,Block11
S001,4,20,3,2,,6,1,5,,9,12
S002,8,4,,3,6,,5,1,,33,2
S003,4,3,2,,6,1,5,,14,20,15
S004,2,3,,4,1,,6,9,,5,18
S005,2,3,,4,1,,6,22,,5,34
S006,4,20,3,2,,6,1,5,,12,19
S007,2,6,,4,3,,10,1,,5,11
S008,6,2,,3,4,,33,1,,5,26
S009,3,4,2,,6,1,5,,26,20,14
S010,6,2,,1,4,,3,23,,28,5
S011,6,2,,1,4,,3,15,,10,5
S012,3,20,4,2,,6,1,5,,10,32
S013,6,2,,1,3,,4,35,,34,5
S014,1,6,,2,3,,4,26,,33,5
S015,3,4,2,,6,1,5,,19,20,23
S016,1,6,,5,2,,4,3,,14,28
S017,1,6,,5,2,,3,4,,22,35
S018,2,20,4,3,,6,1,5,,18,11
S019,1,5,,6,2,,32,4,,3,26
S020,5,1,,6,2,,24,4,,3,23
